circuit_id,name,location,country,latitude,longitude,aliases
albert-park-circuit,Albert Park Circuit,Melbourne,Australia,-37.8497,144.968,"Albert Park Circuit , Melbourne"
red-bull-ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,"A1-Ring , Spielberg;Red Bull Ring , Spielberg"
baku-city-circuit,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,"Baku City Circuit , Baku"
bahrain-international-circuit,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,"Bahrain International Circuit , Sakhir"
circuit-de-spa-francorchamps,Circuit de Spa-Francorchamps,Stavelot,Belgium,50.4372,5.9714,"Circuit de Spa-Francorchamps , Stavelot"
autodromo-jose-carlos-pace,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,"Autódromo José Carlos Pace , São Paulo;Interlagos Circuit , São Paulo"
circuit-gilles-villeneuve,Circuit Gilles Villeneuve,Montréal,Canada,45.5,-73.5228,"Circuit Gilles Villeneuve , Montreal;Circuit Gilles Villeneuve , Montréal"
shanghai-international-circuit,Shanghai International Circuit,Shanghai,China,31.3389,121.22,"Shanghai International Circuit , Shanghai"
circuit-paul-ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.7917,"Circuit Paul Ricard , Le Castellet"
circuit-de-nevers-magny-cours,Circuit de Nevers Magny-Cours,Magny-Cours,France,46.8642,3.1633,"Circuit de Nevers Magny-Cours , Magny-Cours;Circuit de Nevers Magny-Cours , Magny Cours"
hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.5656,"Hockenheimring , Hockenheim"
nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,"Nürburgring , Nürburg"
hungaroring,Hungaroring,Mogyoród,Hungary,47.5789,19.2486,"Hungaroring , Mogyoród"
buddh-international-circuit,Buddh International Circuit,Greater Noida,India,28.3486,77.5331,"Buddh International Circuit , Greater Noida"
autodromo-enzo-e-dino-ferrari,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,"Autodromo Enzo e Dino Ferrari , Imola;Autodromo Internazionale Enzo e Dino Ferrari , Imola;Imola Circuit , Imola"
autodromo-internazionale-del-mugello,Autodromo Internazionale del Mugello,Scarperia e San Piero,Italy,43.9975,11.3719,"Autodromo Internazionale del Mugello , Scarperia e San Piero"
autodromo-nazionale-di-monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.2811,"Autodromo Nazionale di Monza , Monza;Autodromo Nazionale Monza , Monza;Monza Circuit , Monza"
fuji-speedway,Fuji Speedway,"Oyama, Shizuoka",Japan,35.3717,138.9267,"Fuji Speedway , Oyama, Shizuoka"
suzuka-circuit,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,"Suzuka Circuit , Suzuka;Suzuka International Racing Course , Suzuka"
sepang-international-circuit,Sepang International Circuit,Sepang,Malaysia,2.7608,101.7383,"Sepang International Circuit , Sepang;Sepang International Circuit , Kuala Lumpur;Sepang International Circuit , Selangor"
autodromo-hermanos-rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,"Autódromo Hermanos Rodríguez , Mexico City"
circuit-de-monaco,Circuit de Monaco,Monte Carlo,Monaco,43.7347,7.4206,"Circuit de Monaco , Monaco;Circuit de Monaco , Monte Carlo;Circuit de Monaco , Monte-Carlo"
circuit-zandvoort,Circuit Zandvoort,Zandvoort,Netherlands,52.3888,4.5409,"Circuit Zandvoort , Zandvoort"
autodromo-internacional-do-algarve,Autódromo Internacional do Algarve,Portimão,Portugal,37.2306,-8.6267,"Autódromo Internacional do Algarve , Portimão;Algarve International Circuit , Portimão"
lusail-international-circuit,Lusail International Circuit,Lusail,Qatar,25.4886,51.4525,"Lusail International Circuit , Lusail"
sochi-autodrom,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,"Sochi Autodrom , Sochi"
jeddah-corniche-circuit,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,"Jeddah Corniche Circuit , Jeddah"
marina-bay-street-circuit,Marina Bay Street Circuit,Singapore,Singapore,1.2914,103.864,"Marina Bay Street Circuit , Singapore"
korea-international-circuit,Korea International Circuit,Yeongam,South Korea,34.7333,126.4164,"Korea International Circuit , Yeongam"
