Year,Round,Grand Prix,Circuit,Circuit URL,Date
2000,1,Australian Grand Prix,"Albert Park Circuit , Melbourne",,12 March
2000,2,Brazilian Grand Prix,"Autódromo José Carlos Pace , São Paulo",,26 March
2000,3,San Marino Grand Prix,"Autodromo Enzo e Dino Ferrari , Imola",,9 April
2000,4,British Grand Prix,"Silverstone Circuit , Silverstone",,23 April
2000,5,Spanish Grand Prix,"Circuit de Catalunya , Montmeló",,7 May
2000,6,European Grand Prix,"Nürburgring , Nürburg",,21 May
2000,7,Monaco Grand Prix,"Circuit de Monaco , Monaco",,4 June
2000,8,Canadian Grand Prix,"Circuit Gilles Villeneuve , Montreal",,18 June
2000,9,French Grand Prix,"Circuit de Nevers Magny-Cours , Magny-Cours",,2 July
2000,10,Austrian Grand Prix,"A1-Ring , Spielberg",,16 July
2000,11,German Grand Prix,"Hockenheimring , Hockenheim",,30 July
2000,12,Hungarian Grand Prix,"Hungaroring , Mogyoród",,13 August
2000,13,Belgian Grand Prix,"Circuit de Spa-Francorchamps , Stavelot",,27 August
2000,14,Italian Grand Prix,"Autodromo Nazionale di Monza , Monza",,10 September
2000,15,United States Grand Prix,"Indianapolis Motor Speedway , Speedway",,24 September
2000,16,Japanese Grand Prix,"Suzuka Circuit , Suzuka",,8 October
2000,17,Malaysian Grand Prix,"Sepang International Circuit , Sepang",,22 October
2000,Sources:,,,,
2001,1,Australian Grand Prix,"Albert Park Circuit , Melbourne",,4 March
2001,2,Malaysian Grand Prix,"Sepang International Circuit , Kuala Lumpur",,18 March
2001,3,Brazilian Grand Prix,"Autódromo José Carlos Pace , São Paulo",,1 April
2001,4,San Marino Grand Prix,"Autodromo Enzo e Dino Ferrari , Imola",,15 April
2001,5,Spanish Grand Prix,"Circuit de Catalunya , Montmeló",,29 April
2001,6,Austrian Grand Prix,"A1-Ring , Spielberg",,13 May
2001,7,Monaco Grand Prix,"Circuit de Monaco , Monte Carlo",,27 May
2001,8,Canadian Grand Prix,"Circuit Gilles Villeneuve , Montreal",,10 June
2001,9,European Grand Prix,"Nürburgring , Nürburg",,24 June
2001,10,French Grand Prix,"Circuit de Nevers Magny-Cours , Magny-Cours",,1 July
2001,11,British Grand Prix,"Silverstone Circuit , Silverstone",,15 July
2001,12,German Grand Prix,"Hockenheimring , Hockenheim",,29 July
2001,13,Hungarian Grand Prix,"Hungaroring , Mogyoród",,19 August
2001,14,Belgian Grand Prix,"Circuit de Spa-Francorchamps , Stavelot",,2 September
2001,15,Italian Grand Prix,"Autodromo Nazionale di Monza , Monza",,16 September
2001,16,United States Grand Prix,"Indianapolis Motor Speedway , Speedway",,30 September
2001,17,Japanese Grand Prix,"Suzuka Circuit , Suzuka",,14 October
2001,Sources:,,,,
2002,1,Australian Grand Prix,"Albert Park Circuit , Melbourne",,3 March
2002,2,Malaysian Grand Prix,"Sepang International Circuit , Kuala Lumpur",,17 March
2002,3,Brazilian Grand Prix,"Autódromo José Carlos Pace , São Paulo",,31 March
2002,4,San Marino Grand Prix,"Autodromo Enzo e Dino Ferrari , Imola",,14 April
2002,5,Spanish Grand Prix,"Circuit de Catalunya , Montmeló",,28 April
2002,6,Austrian Grand Prix,"A1-Ring , Spielberg",,12 May
2002,7,Monaco Grand Prix,"Circuit de Monaco , Monte Carlo",,26 May
2002,8,Canadian Grand Prix,"Circuit Gilles Villeneuve , Montreal",,9 June
2002,9,European Grand Prix,"Nürburgring , Nürburg",,23 June
2002,10,British Grand Prix,"Silverstone Circuit , Silverstone",,7 July
2002,11,French Grand Prix,"Circuit de Nevers Magny-Cours , Magny-Cours",,21 July
2002,12,German Grand Prix,"Hockenheimring , Hockenheim",,28 July
2002,13,Hungarian Grand Prix,"Hungaroring , Mogyoród",,18 August
2002,14,Belgian Grand Prix,"Circuit de Spa-Francorchamps , Stavelot",,1 September
2002,15,Italian Grand Prix,"Autodromo Nazionale di Monza , Monza",,15 September
2002,16,United States Grand Prix,"Indianapolis Motor Speedway , Speedway",,29 September
