Albert Park Circuit , Melbourne
Autódromo José Carlos Pace , São Paulo
Autodromo Enzo e Dino Ferrari , Imola
Silverstone Circuit , Silverstone
Circuit de Catalunya , Montmeló
Nürburgring , Nürburg
Circuit de Monaco , Monaco
Circuit Gilles Villeneuve , Montreal
Circuit de Nevers Magny-Cours , Magny-Cours
A1-Ring , Spielberg
Hockenheimring , Hockenheim
Hungaroring , Mogyoród
Circuit de Spa-Francorchamps , Stavelot
Autodromo Nazionale di Monza , Monza
Indianapolis Motor Speedway , Speedway
Suzuka Circuit , Suzuka
Sepang International Circuit , Sepang
Sepang International Circuit , Kuala Lumpur
Circuit de Monaco , Monte Carlo
Bahrain International Circuit , Sakhir
Circuit de Nevers Magny-Cours , Magny Cours
Shanghai International Circuit , Shanghai
Circuit de Monaco , Monte-Carlo
Istanbul Park , Istanbul
Fuji Speedway , Oyama, Shizuoka
Valencia Street Circuit , Valencia
Marina Bay Street Circuit , Singapore
Sepang International Circuit , Selangor
Yas Marina Circuit , Abu Dhabi
Korea International Circuit , Yeongam
Autodromo Nazionale Monza , Monza
Buddh International Circuit , Greater Noida
Circuit of the Americas , Austin, Texas
Circuit de Barcelona-Catalunya , Montmeló
Red Bull Ring , Spielberg
Sochi Autodrom , Sochi
Circuit of the Americas , Austin , Texas
Autódromo Hermanos Rodríguez , Mexico City
Baku City Circuit , Baku
Suzuka International Racing Course , Suzuka
Circuit Paul Ricard , Le Castellet
Circuit Gilles Villeneuve , Montréal
Autodromo Internazionale del Mugello , Scarperia e San Piero
Autódromo Internacional do Algarve , Portimão
Autodromo Internazionale Enzo e Dino Ferrari , Imola
Istanbul Park , Tuzla
Imola Circuit , Imola
Algarve International Circuit , Portimão
Circuit Zandvoort , Zandvoort
Monza Circuit , Monza
Interlagos Circuit , São Paulo
Lusail International Circuit , Lusail
Jeddah Corniche Circuit , Jeddah
Miami International Autodrome , Miami Gardens, Florida
Las Vegas Strip Circuit , Paradise, Nevada
Madring , Madrid
